,招标文件名称,省市区,网址,类型,银行全称,行别,投标时间,报名时间,截止时间
174,上海银行成都分行会务服务供应商入围项目更正公告,上海,http://www.gc-zb.com/read-195851630.html,招标,,,,,
175,天津滨海农村商业银行关于征集2020年度（蓝牙、二代）USBKEY设备采购项目供应商的公告,天津,http://www.gc-zb.com/read-195851429.html,招标,,,,,
176,上海银行金钻路支行行牌及室内标识工程采购信息公告,上海,http://www.gc-zb.com/read-195851000.html,招标,,,,,
177,中国银行股份有限公司DCC汇率服务供应商采购项目中标结果公示,上海,http://www.gc-zb.com/read-195850909.html,中标,中国银行股份有限公司,总行,,,
178,中国农业银行股份有限公司网点设备少数民族语言服务项目,北京,http://www.gc-zb.com/read-195850813.html,招标,中国农业银行股份有限公司,总行,,,
179,张家口银行股份有限公司生产环境服务器扩容采购项目,河北,http://www.gc-zb.com/read-195844097.html,招标,,,,,
180,中国人民银行合肥中心支行驻勤武警部队“智慧磐石”工程（二期）建设项目流标公告,安徽,http://www.gc-zb.com/read-195840132.html,招标,,,,,
181,张家口银行股份有限公司行业应用物业及热力收缴费系统采购项目招标公告,河北,http://www.gc-zb.com/read-195832901.html,招标,,,,,
182,重庆银行上丁数据中心互联网大数据API防火墙采购中标候选人公示,重庆,http://www.gc-zb.com/read-195832729.html,中标,,,,,
183,中国人民银行合肥中心支行驻勤武警部队“智慧磐石”工程（二期）建设项目（二次）竞争性磋商公告,安徽,http://www.gc-zb.com/read-195803450.html,招标,,,,,
184,甘肃银行微信平台运营服务项目竞争性磋商公告,甘肃,http://www.gc-zb.com/read-195777306.html,招标,,,,,
185,恒丰银行股份有限公司济宁分行午餐配送服务项目,山东,http://www.gc-zb.com/read-195772186.html,招标,,,,,
186,招商银行天津分行集中采购结果公告,天津,http://www.gc-zb.com/read-195769145.html,招标,,,,,
187,招商银行哈尔滨分行省级财政集中化系统实施服务项目集中采购结果公示,黑龙江,http://www.gc-zb.com/read-195767870.html,招标,,,,,
188,招商银行哈尔滨分行财政国库集中支付电子凭证库项目集中采购结果公示,黑龙江,http://www.gc-zb.com/read-195767228.html,招标,,,,,
189,招商银行哈尔滨分行理工大学校友基金会项目集中采购结果公示,黑龙江,http://www.gc-zb.com/read-195766913.html,招标,,,,,
190,招商银行苏州分行集中采购结果公告,江苏,http://www.gc-zb.com/read-195766320.html,招标,,,,,
